layer,cluster,name,n,cosine,rank_in_layer
0,31,Faculty-Sponsored CPT Employment Reporting,23,0.6999750137329102,0.0028011204481792717
0,288,Themed PWR Seminars On Belonging And Change,11,0.7462416887283325,0.0056022408963585435
0,325,Paris On-Site Study Abroad Seminars,10,0.7494633197784424,0.008403361344537815
0,30,Industry Research Lab Practical Training,12,0.753048300743103,0.011204481792717087
0,14,Departmental CPT Degree Completion Requirements,18,0.7761492729187012,0.014005602240896359
0,333,Persuasive Brief Drafting And Rhetoric,12,0.797397792339325,0.01680672268907563
0,13,Hybrid Distance Indigenous Language Sequences,32,0.8038721084594727,0.0196078431372549
0,231,Introductory Computer Science Supplemental Labs,15,0.8440402150154114,0.022408963585434174
0,9,Vietnamese and Khmer Language Sequences,12,0.8447484970092773,0.025210084033613446
0,282,Classical Literature In Translation Seminars,25,0.8529211282730103,0.028011204481792718
0,216,Global Health In Resource-Poor Settings,37,0.8533861637115479,0.03081232492997199
0,71,Student Wellbeing and Peer Health Education,28,0.8554613590240479,0.03361344537815126
0,133,Earth and Planetary Sciences Research,15,0.8554724454879761,0.036414565826330535
0,287,Core PWR Research Based Argument Sequence,23,0.8568434715270996,0.0392156862745098
0,228,Scenic Lighting And Properties Design,16,0.8575912714004517,0.04201680672268908
0,223,Practical Software Tools And Design,10,0.8627866506576538,0.04481792717086835
0,104,Proof-Based Analysis And PDE Theory,24,0.8650344014167786,0.047619047619047616
0,21,Terminal Graduate Registration Dissertation Courses,34,0.870286762714386,0.05042016806722689
0,17,Beginning Polish Czech Hungarian Finnish,35,0.871155858039856,0.05322128851540616
0,129,Social Epistemology and Embodied Phenomenology,11,0.8722779750823975,0.056022408963585436
0,311,Critical Concept Seminars In Cultural Anthropology,22,0.8756296634674072,0.058823529411764705
0,22,Private Applied Lessons For Music Majors,41,0.878598690032959,0.06162464985994398
0,267,Senior Thesis MFA Professional Practice,30,0.8797523975372314,0.06442577030812324
0,212,Carbon Markets And Climate Tech Economics,24,0.8809007406234741,0.06722689075630252
0,206,Equitable Electrification Law And Policy Practicums,11,0.881787896156311,0.0700280112044818
0,306,Evidence Law and Clinical Practice,11,0.8819425106048584,0.07282913165266107
0,339,Black Queer Trans Anticolonial Sexuality Scholarship,33,0.8828393220901489,0.07563025210084033
0,242,"Science, Technology, Society Studies",26,0.8828854560852051,0.0784313725490196
0,200,General And Subspecialty Surgery Rotations,21,0.8831413984298706,0.08123249299719888
0,320,Wonder Sublimity And Literary Imagination,46,0.8833875060081482,0.08403361344537816
0,227,Scholarly Organization Theory And Analysis,25,0.8838850259780884,0.08683473389355742
0,4,South Asian Language Instruction,26,0.883903443813324,0.0896358543417367
0,95,"Abstract Algebra, Number Theory",24,0.8841240406036377,0.09243697478991597
0,111,"Astrophysics, Cosmology, And Observational Astronomy",14,0.8846580982208252,0.09523809523809523
0,28,Communicative Swahili Zulu Amharic Sequences,33,0.8853517770767212,0.09803921568627451
0,179,Immunology and Biomedical Engineering Technologies,25,0.8854547142982483,0.10084033613445378
0,230,Computer Science Independent Research Credit,14,0.8863550424575806,0.10364145658263306
0,268,Classical Language Reading And Composition,13,0.8865582942962646,0.10644257703081232
0,130,Quantum Condensed Matter Physics,12,0.8878600597381592,0.1092436974789916
0,80,Moral Philosophy For Personal And Civic Life,16,0.8882754445075989,0.11204481792717087
0,201,Clinical And Surgical Human Anatomy,25,0.8903563022613525,0.11484593837535013
0,114,"Culture, Identity, and Mental Health",19,0.8909781575202942,0.11764705882352941
0,149,Modern Physics And Quantum Mechanics,40,0.8910435438156128,0.12044817927170869
0,269,Greek And Latin Language Instruction,24,0.891156792640686,0.12324929971988796
0,215,Artificial Intelligence And Deep Learning,41,0.8920276165008545,0.12605042016806722
0,271,Public Art And Visual Literacy,16,0.8921180963516235,0.12885154061624648
0,323,Rule Of Law Statebuilding And Anticorruption,11,0.8932275772094727,0.13165266106442577
0,265,Digital Media Art Theory,11,0.8932596445083618,0.13445378151260504
0,101,Full-Stack Web And Mobile Development,11,0.8938456773757935,0.13725490196078433
0,318,Formal Models Of Electoral Behavior,25,0.8939477205276489,0.1400560224089636
0,321,Moral Judgment And Visual Culture,10,0.8941754698753357,0.14285714285714285
0,153,Integrated Organ System Pathophysiology,36,0.8950182199478149,0.14565826330532214
0,235,"Taxation, Estate Planning, Business Policy",12,0.8958938717842102,0.1484593837535014
0,147,"Organic Synthesis, Mechanism, Laboratory Training",30,0.8961299061775208,0.15126050420168066
0,27,Igbo Twi Tigrinya Continuation Courses,13,0.8963004350662231,0.15406162464985995
0,225,Primary Care Clinical Clerkships,31,0.8963110446929932,0.1568627450980392
0,190,Artificial Intelligence In Healthcare,22,0.8963664770126343,0.15966386554621848
